x,y,x (ft),y (ft),description,img_last4,neck,seat_track,seat_height
0.18169,3.376047,0.596095801,11.07626969,,0000,50th_male,mid,mid
0.24802,3.400542,0.813713911,11.15663386,,0000,50th_male,mid,mid
0.354438,3.400542,1.162854331,11.15663386,,0000,50th_male,mid,mid
0.450968,3.425252,1.479553806,11.23770341,,0000,50th_male,mid,mid
0.557853,3.425252,1.830226378,11.23770341,,0000,50th_male,mid,mid
0.664019,3.400542,2.178540026,11.15663386,,0000,50th_male,mid,mid
0.758504,3.351763,2.488530184,10.99659777,,0000,50th_male,mid,mid
0.864001,3.351763,2.83464895,10.99659777,,0000,50th_male,mid,mid
0.957923,3.327689,3.142791995,10.91761483,,0000,50th_male,mid,mid
1.051039,3.303822,3.448290682,10.83931102,,0000,50th_male,mid,mid
1.155629,3.303822,3.791433727,10.83931102,,0000,50th_male,mid,mid
1.218853,3.351763,3.998861549,10.99659777,,0000,50th_male,mid,mid
1.306052,3.425252,4.284947507,11.23770341,,0000,50th_male,mid,mid
1.426721,3.450181,4.680843176,11.31949147,,0000,50th_male,mid,mid
1.456,3.450181,4.776902887,11.31949147,,0000,50th_male,mid,mid
1.568065,3.47533,5.14457021,11.40200131,,0000,50th_male,mid,mid
1.6857,3.47533,5.530511811,11.40200131,,0000,50th_male,mid,mid
1.795198,3.526303,5.889757218,11.56923556,,0000,50th_male,mid,mid
3.018528,3.65781,9.903307087,12.00068898,,0000,50th_male,mid,mid
3.131717,3.684835,10.27466207,12.08935367,,0000,50th_male,mid,mid
3.243508,3.684835,10.64143045,12.08935367,,0000,50th_male,mid,mid
3.3553,3.684835,11.0082021,12.08935367,,0000,50th_male,mid,mid
3.365463,3.684835,11.04154528,12.08935367,,0000,50th_male,mid,mid
1.884212,3.526303,6.1817979,11.56923556,,0000,50th_male,mid,mid
1.940097,3.552132,6.365147638,11.65397638,,0000,50th_male,mid,mid
2.056365,3.578194,6.746604331,11.73948163,,0000,50th_male,mid,mid
2.16366,3.604492,7.098622047,11.82576115,,0000,50th_male,mid,mid
2.280027,3.65781,7.480403543,12.00068898,,0000,50th_male,mid,mid
2.391309,3.65781,7.845501969,12.00068898,,0000,50th_male,mid,mid
2.502589,3.65781,8.210593832,12.00068898,,0000,50th_male,mid,mid
2.61387,3.65781,8.575688976,12.00068898,,0000,50th_male,mid,mid
2.725151,3.65781,8.940784121,12.00068898,,0000,50th_male,mid,mid
2.836432,3.65781,9.305879265,12.00068898,,0000,50th_male,mid,mid
2.947712,3.65781,9.670971129,12.00068898,,0000,50th_male,mid,mid
2.947712,3.65781,9.670971129,12.00068898,,0000,50th_male,mid,mid
0.052676,3.303822,0.172821522,10.83931102,,0000,50th_male,mid,mid
-0.049555,3.28016,-0.162582021,10.76167979,,0000,50th_male,mid,mid
-0.112206,3.164817,-0.368129921,10.38325787,,0000,50th_male,mid,mid
-0.187627,3.032622,-0.615574147,9.949547244,,0000,50th_male,mid,mid
-0.259699,2.968926,-0.85203084,9.740570866,,0000,50th_male,mid,mid
-0.30917,2.886357,-1.01433727,9.469675197,,0000,50th_male,mid,mid
-0.383055,2.806371,-1.256742126,9.207253937,,0000,50th_male,mid,mid
-0.467981,2.709836,-1.535370735,8.890538058,,0000,50th_male,mid,mid
-0.562705,2.56285,-1.846145013,8.408300525,,0000,50th_male,mid,mid
-0.567266,2.509961,-1.861108924,8.234780184,,0000,50th_male,mid,mid
-0.502731,2.672251,-1.649379921,8.76722769,,0000,50th_male,mid,mid
-0.891835,1.485059,-2.925967848,4.872240814,,0000,50th_male,mid,mid
-0.865345,1.517471,-2.839058399,4.978579396,,0000,50th_male,mid,mid
-0.825397,1.550454,-2.707995407,5.086791339,,0000,50th_male,mid,mid
