x (ft),y (ft),description,img_last4,neck,seat_track,seat_height
-144.2927133,-36.60655184,,1271,50th_male,mid,mid
-140.7597999,-35.71064304,,1271,50th_male,mid,mid
-137.3938812,-34.30450131,,1271,50th_male,mid,mid
-137.3938812,-34.23542651,,1271,50th_male,mid,mid
-137.3938812,-34.23542651,,1271,50th_male,mid,mid
-137.3938812,-34.23542651,,1271,50th_male,mid,mid
-137.3938812,-34.02821194,,1271,50th_male,mid,mid
-137.3938812,-33.89006234,,1271,50th_male,mid,mid
-137.3938812,-33.82099081,,1271,50th_male,mid,mid
-135.769918,-32.84100722,,1271,50th_male,mid,mid
-135.769918,-32.56794291,,1271,50th_male,mid,mid
-135.769918,-32.43141404,,1271,50th_male,mid,mid
-132.6332808,-31.61525262,,1271,50th_male,mid,mid
-131.118002,-30.82524606,,1271,50th_male,mid,mid
-131.118002,-30.56142388,,1271,50th_male,mid,mid
-131.118002,-30.36355971,,1271,50th_male,mid,mid
-131.118002,-30.16569554,,1271,50th_male,mid,mid
-129.636542,-29.6615584,,1271,50th_male,mid,mid
-129.636542,-29.59633858,,1271,50th_male,mid,mid
-128.1877822,-28.97504921,,1271,50th_male,mid,mid
-128.1877822,-28.97504921,,1271,50th_male,mid,mid
-128.1877822,-28.84604987,,1271,50th_male,mid,mid
-126.7706496,-28.23973425,,1271,50th_male,mid,mid
-126.7706496,-28.04834646,,1271,50th_male,mid,mid
-126.7706496,-27.85696194,,1271,50th_male,mid,mid
-126.7706496,-27.72937008,,1271,50th_male,mid,mid
-126.7706496,-27.41039698,,1271,50th_male,mid,mid
-126.7706496,-27.28280512,,1271,50th_male,mid,mid
-126.7706496,-26.96382874,,1271,50th_male,mid,mid
-128.1877822,-26.9110794,,1271,50th_male,mid,mid
-134.1835531,-27.29518045,,1271,50th_male,mid,mid
-134.1835531,-27.29518045,,1271,50th_male,mid,mid
-135.769918,-27.37972769,,1271,50th_male,mid,mid
-135.769918,-27.17493438,,1271,50th_male,mid,mid
-137.3938812,-27.12092848,,1271,50th_male,mid,mid
-139.0567159,-27.34523294,,1271,50th_male,mid,mid
-144.2927133,-27.83403215,,1271,50th_male,mid,mid
-149.9333465,-28.28529856,,1271,50th_male,mid,mid
