x (ft),y (ft),description,img_last4,neck,seat_track,seat_height
-4.918195538,6.723697507,,0000,50th_male,mid,mid
-4.918195538,6.723697507,,0000,50th_male,mid,mid
-4.857700131,6.594189633,,0000,50th_male,mid,mid
-4.837782152,6.551551837,,0000,50th_male,mid,mid
-4.620328084,6.179245407,,0000,50th_male,mid,mid
-4.583198819,6.099209318,,0000,50th_male,mid,mid
-4.52832021,5.980918635,,0000,50th_male,mid,mid
-4.400347769,5.750492126,,0000,50th_male,mid,mid
-4.293576115,5.564481627,,0000,50th_male,mid,mid
-4.068704068,5.207906824,,0000,50th_male,mid,mid
-4.021683071,5.104753937,,0000,50th_male,mid,mid
-3.831384514,4.772847769,,0000,50th_male,mid,mid
-3.734931102,4.645003281,,0000,50th_male,mid,mid
-3.673490814,4.550875984,,0000,50th_male,mid,mid
-3.62671916,4.48894685,,0000,50th_male,mid,mid
-3.61300853,4.458221785,,0000,50th_male,mid,mid
-3.44273294,4.159557087,,0000,50th_male,mid,mid
-3.41140748,4.130521654,,0000,50th_male,mid,mid
-3.349232283,4.07289042,,0000,50th_male,mid,mid
-3.330862861,4.07289042,,0000,50th_male,mid,mid
-3.281732283,4.044291339,,0000,50th_male,mid,mid
-3.281732283,4.044291339,,0000,50th_male,mid,mid
-3.214566929,4.015836614,,0000,50th_male,mid,mid
-3.214566929,4.015836614,,0000,50th_male,mid,mid
-3.165971129,3.987519685,,0000,50th_male,mid,mid
-3.165971129,3.987519685,,0000,50th_male,mid,mid
-3.111272966,3.987519685,,0000,50th_male,mid,mid
-3.093038058,3.987519685,,0000,50th_male,mid,mid
-3.07480643,3.987519685,,0000,50th_male,mid,mid
-3.07480643,3.987519685,,0000,50th_male,mid,mid
-3.056574803,3.987519685,,0000,50th_male,mid,mid
-3.056574803,3.987519685,,0000,50th_male,mid,mid
-2.874245407,3.987519685,,0000,50th_male,mid,mid
-2.874245407,3.987519685,,0000,50th_male,mid,mid
-2.859035433,4.277185039,,0000,50th_male,mid,mid
-2.859035433,4.277185039,,0000,50th_male,mid,mid
-2.773379265,4.397250656,,0000,50th_male,mid,mid
-2.773379265,4.397250656,,0000,50th_male,mid,mid
-2.808854987,4.645003281,,0000,50th_male,mid,mid
-2.808854987,4.645003281,,0000,50th_male,mid,mid
-2.790252625,4.805239501,,0000,50th_male,mid,mid
-2.790252625,4.805239501,,0000,50th_male,mid,mid
-2.703195538,5.173330052,,0000,50th_male,mid,mid
-2.703195538,5.173330052,,0000,50th_male,mid,mid
-2.7394521,5.104753937,,0000,50th_male,mid,mid
-2.7394521,5.104753937,,0000,50th_male,mid,mid
-2.475393701,5.277631234,,0000,50th_male,mid,mid
-2.475393701,5.277631234,,0000,50th_male,mid,mid
-2.666653543,5.588500656,,0000,50th_male,mid,mid
-2.666653543,5.588500656,,0000,50th_male,mid,mid
-2.623290682,5.775629921,,0000,50th_male,mid,mid
-2.623290682,5.775629921,,0000,50th_male,mid,mid
-2.684671916,5.43660105,,0000,50th_male,mid,mid
-2.684671916,5.43660105,,0000,50th_male,mid,mid
-2.545226378,5.807345801,,0000,50th_male,mid,mid
-2.545226378,5.807345801,,0000,50th_male,mid,mid
-2.421646982,6.099865486,,0000,50th_male,mid,mid
-2.421646982,6.099865486,,0000,50th_male,mid,mid
-2.519783465,6.066722441,,0000,50th_male,mid,mid
-2.519783465,6.066722441,,0000,50th_male,mid,mid
-2.299465223,6.302234252,,0000,50th_male,mid,mid
-2.299465223,6.302234252,,0000,50th_male,mid,mid
-2.289603018,6.725846457,,0000,50th_male,mid,mid
-2.289603018,6.725846457,,0000,50th_male,mid,mid
-2.178759843,6.947700131,,0000,50th_male,mid,mid
-2.178759843,6.947700131,,0000,50th_male,mid,mid
-2.161971785,7.176669948,,0000,50th_male,mid,mid
-2.161971785,7.176669948,,0000,50th_male,mid,mid
-2.065895669,7.575072178,,0000,50th_male,mid,mid
-2.065895669,7.575072178,,0000,50th_male,mid,mid
-2.005685696,7.740633202,,0000,50th_male,mid,mid
-1.975170604,7.782598425,,0000,50th_male,mid,mid
-1.891863517,8.039399606,,0000,50th_male,mid,mid
-1.891863517,8.039399606,,0000,50th_male,mid,mid
-1.83773294,8.260170604,,0000,50th_male,mid,mid
-1.847762467,8.305085302,,0000,50th_male,mid,mid
-1.718152887,8.487378609,,0000,50th_male,mid,mid
-1.718152887,8.487378609,,0000,50th_male,mid,mid
-1.609379921,8.580127953,,0000,50th_male,mid,mid
-1.573431759,8.721312336,,0000,50th_male,mid,mid
-1.257316273,9.26117126,,0000,50th_male,mid,mid
-1.257316273,9.26117126,,0000,50th_male,mid,mid
-1.426584646,9.210597113,,0000,50th_male,mid,mid
