x,y,description,img_last4,neck,seat_track,seat_height
22.546707,-56.295219,,0000,50th_male,mid,mid
22.546707,-56.295219,,0000,50th_male,mid,mid
72.759003,-183.405258,,0000,50th_male,mid,mid
-97.401329,245.423141,,0000,50th_male,mid,mid
-25.577871,64.631844,,0000,50th_male,mid,mid
-16.563402,42.293976,,0000,50th_male,mid,mid
-12.163778,31.146547,,0000,50th_male,mid,mid
-8.940469,23.083254,,0000,50th_male,mid,mid
-7.181379,18.742002,,0000,50th_male,mid,mid
-5.426941,14.264853,,0000,50th_male,mid,mid
-4.343970,11.364241,,0000,50th_male,mid,mid
-3.746355,9.805460,,0000,50th_male,mid,mid
-3.245452,8.489082,,0000,50th_male,mid,mid
-2.917388,7.626927,,0000,50th_male,mid,mid
-2.566018,6.726741,,0000,50th_male,mid,mid
-2.151679,5.669228,,0000,50th_male,mid,mid
-1.896621,5.044868,,0000,50th_male,mid,mid
-1.649935,4.481488,,0000,50th_male,mid,mid
-1.415129,3.895776,,0000,50th_male,mid,mid
-1.259940,3.514040,,0000,50th_male,mid,mid
-1.133983,3.237326,,0000,50th_male,mid,mid
-1.054706,3.079955,,0000,50th_male,mid,mid
-1.080498,3.157488,,0000,50th_male,mid,mid
-1.027435,3.157488,,0000,50th_male,mid,mid
-0.929194,3.079955,,0000,50th_male,mid,mid
-0.842189,3.042023,,0000,50th_male,mid,mid
-0.759114,3.042023,,0000,50th_male,mid,mid
-0.686424,3.042023,,0000,50th_male,mid,mid
-0.587773,3.042023,,0000,50th_male,mid,mid
-0.509891,3.042023,,0000,50th_male,mid,mid
-0.453820,3.118440,,0000,50th_male,mid,mid
-0.380072,3.118440,,0000,50th_male,mid,mid
-0.331582,3.237326,,0000,50th_male,mid,mid
-0.269011,3.404347,,0000,50th_male,mid,mid
-0.215244,3.536494,,0000,50th_male,mid,mid
-0.128043,3.581937,,0000,50th_male,mid,mid
-0.087962,3.581937,,0000,50th_male,mid,mid
-0.032186,3.604928,,0000,50th_male,mid,mid
0.002306,3.604928,,0000,50th_male,mid,mid
0.104836,3.628104,,0000,50th_male,mid,mid
0.196009,3.675012,,0000,50th_male,mid,mid
0.294328,3.746804,,0000,50th_male,mid,mid
0.365084,3.771126,,0000,50th_male,mid,mid
0.448295,3.795648,,0000,50th_male,mid,mid
0.544115,3.820371,,0000,50th_male,mid,mid
0.639501,3.820371,,0000,50th_male,mid,mid
0.750163,3.870433,,0000,50th_male,mid,mid
0.762185,3.870433,,0000,50th_male,mid,mid
0.828308,3.870433,,0000,50th_male,mid,mid
0.828308,3.870433,,0000,50th_male,mid,mid
0.870386,3.870433,,0000,50th_male,mid,mid
0.870386,3.870433,,0000,50th_male,mid,mid
0.857348,3.340528,,0000,50th_male,mid,mid
0.923195,3.340528,,0000,50th_male,mid,mid
1.002516,3.361641,,0000,50th_male,mid,mid
1.110088,3.382913,,0000,50th_male,mid,mid
1.212934,3.404347,,0000,50th_male,mid,mid
1.294286,3.425949,,0000,50th_male,mid,mid
1.355574,3.425949,,0000,50th_male,mid,mid
1.430946,3.947104,,0000,50th_male,mid,mid
1.443120,3.947104,,0000,50th_male,mid,mid
1.516163,3.947104,,0000,50th_male,mid,mid
1.583119,3.947104,,0000,50th_male,mid,mid
1.619641,3.947104,,0000,50th_male,mid,mid
1.524776,3.382913,,0000,50th_male,mid,mid
1.552421,3.382913,,0000,50th_male,mid,mid
1.635359,3.382913,,0000,50th_male,mid,mid
1.707238,3.382913,,0000,50th_male,mid,mid
1.790179,3.361641,,0000,50th_male,mid,mid
1.872185,3.319577,,0000,50th_male,mid,mid
1.954801,3.340528,,0000,50th_male,mid,mid
1.988472,3.361641,,0000,50th_male,mid,mid
2.124423,3.722679,,0000,50th_male,mid,mid
2.188938,3.722679,,0000,50th_male,mid,mid
2.261376,3.675012,,0000,50th_male,mid,mid
2.305473,3.581937,,0000,50th_male,mid,mid
2.336195,3.425949,,0000,50th_male,mid,mid
2.385058,3.361641,,0000,50th_male,mid,mid
2.455055,3.257660,,0000,50th_male,mid,mid
2.527979,3.237326,,0000,50th_male,mid,mid
2.620309,3.278143,,0000,50th_male,mid,mid
2.696268,3.278143,,0000,50th_male,mid,mid
2.770468,3.298781,,0000,50th_male,mid,mid
2.849225,3.340528,,0000,50th_male,mid,mid
2.854712,3.340528,,0000,50th_male,mid,mid
0.908403,3.528078,,0000,50th_male,mid,mid
1.012741,3.601166,,0000,50th_male,mid,mid
1.096384,3.598629,,0000,50th_male,mid,mid
1.210690,3.555767,,0000,50th_male,mid,mid
1.306110,3.547458,,0000,50th_male,mid,mid
1.391989,3.593564,,0000,50th_male,mid,mid
1.400749,3.612885,,0000,50th_male,mid,mid
1.523062,4.159034,,0000,50th_male,mid,mid
1.606742,4.140233,,0000,50th_male,mid,mid
1.686228,4.154109,,0000,50th_male,mid,mid
1.691522,4.151052,,0000,50th_male,mid,mid
1.605900,3.519004,,0000,50th_male,mid,mid
1.682841,3.499333,,0000,50th_male,mid,mid
1.781091,3.518016,,0000,50th_male,mid,mid
1.881654,3.537138,,0000,50th_male,mid,mid
1.960372,3.491690,,0000,50th_male,mid,mid
2.041137,3.550842,,0000,50th_male,mid,mid
2.231477,3.839309,,0000,50th_male,mid,mid
2.242065,3.833196,,0000,50th_male,mid,mid
2.332057,3.781239,,0000,50th_male,mid,mid
2.466444,3.764436,,0000,50th_male,mid,mid
2.530631,3.606825,,0000,50th_male,mid,mid
2.651366,3.537118,,0000,50th_male,mid,mid
2.775770,3.616627,,0000,50th_male,mid,mid
2.867051,3.626287,,0000,50th_male,mid,mid
2.948169,3.579454,,0000,50th_male,mid,mid
3.013763,3.573167,,0000,50th_male,mid,mid
3.035488,3.560624,,0000,50th_male,mid,mid
3.051781,3.551217,,0000,50th_male,mid,mid
3.191988,3.566688,,0000,50th_male,mid,mid
3.357161,3.637790,,0000,50th_male,mid,mid
3.652372,3.713357,,0000,50th_male,mid,mid
3.791778,3.632871,,0000,50th_male,mid,mid
3.854509,3.633104,,0000,50th_male,mid,mid
3.764271,3.236280,,0000,50th_male,mid,mid
3.840145,3.225181,,0000,50th_male,mid,mid
4.005513,3.162700,,0000,50th_male,mid,mid
4.094336,3.111419,,0000,50th_male,mid,mid
4.297590,3.129028,,0000,50th_male,mid,mid
4.388014,3.076822,,0000,50th_male,mid,mid
4.488016,2.984890,,0000,50th_male,mid,mid
4.591468,2.959358,,0000,50th_male,mid,mid
4.718563,2.920481,,0000,50th_male,mid,mid
4.818301,2.897715,,0000,50th_male,mid,mid
4.818301,2.897715,,0000,50th_male,mid,mid
5.242682,3.297085,,0000,50th_male,mid,mid
5.329211,3.247127,,0000,50th_male,mid,mid
5.288061,3.031479,,0000,50th_male,mid,mid
5.283157,2.919692,,0000,50th_male,mid,mid
5.284575,2.771004,,0000,50th_male,mid,mid
5.365864,2.687955,,0000,50th_male,mid,mid
5.440652,2.608990,,0000,50th_male,mid,mid
5.562445,2.574459,,0000,50th_male,mid,mid
5.691173,2.536255,,0000,50th_male,mid,mid
5.807344,2.469183,,0000,50th_male,mid,mid
5.911898,2.408819,,0000,50th_male,mid,mid
6.054521,2.362926,,0000,50th_male,mid,mid
6.286157,2.416659,,0000,50th_male,mid,mid
6.487487,2.417249,,0000,50th_male,mid,mid
6.759096,2.546674,,0000,50th_male,mid,mid
7.078832,2.714774,,0000,50th_male,mid,mid
7.383910,2.823077,,0000,50th_male,mid,mid
7.390656,2.819183,,0000,50th_male,mid,mid
4.045404,3.147273,,0000,50th_male,mid,mid
4.133355,3.042412,,0000,50th_male,mid,mid
4.306603,3.085703,,0000,50th_male,mid,mid
4.541597,3.150613,,0000,50th_male,mid,mid
4.675699,3.083897,,0000,50th_male,mid,mid
4.899509,3.040724,,0000,50th_male,mid,mid
4.962461,2.990917,,0000,50th_male,mid,mid
5.423610,3.499862,,0000,50th_male,mid,mid
5.445127,3.462594,,0000,50th_male,mid,mid
5.491745,3.381848,,0000,50th_male,mid,mid
5.523468,3.255400,,0000,50th_male,mid,mid
5.500740,3.084415,,0000,50th_male,mid,mid
5.416234,2.893497,,0000,50th_male,mid,mid
5.436595,2.727749,,0000,50th_male,mid,mid
5.511883,2.662276,,0000,50th_male,mid,mid
5.670529,2.653468,,0000,50th_male,mid,mid
5.863806,2.595109,,0000,50th_male,mid,mid
5.997384,2.506056,,0000,50th_male,mid,mid
6.188494,2.468298,,0000,50th_male,mid,mid
6.383751,2.435448,,0000,50th_male,mid,mid
6.604959,2.452180,,0000,50th_male,mid,mid
6.933889,2.568220,,0000,50th_male,mid,mid
7.333686,2.723529,,0000,50th_male,mid,mid
7.917127,2.991785,,0000,50th_male,mid,mid
8.854788,3.404526,,0000,50th_male,mid,mid
9.838916,3.893714,,0000,50th_male,mid,mid
10.703265,4.277215,,0000,50th_male,mid,mid
11.738058,4.707672,,0000,50th_male,mid,mid
12.840414,5.175482,,0000,50th_male,mid,mid
15.357216,6.286449,,0000,50th_male,mid,mid
18.744135,7.822303,,0000,50th_male,mid,mid
22.388721,9.333534,,0000,50th_male,mid,mid
21.308847,8.794474,,0000,50th_male,mid,mid
5.790773,1.208686,,0000,50th_male,mid,mid
5.806372,1.069851,,0000,50th_male,mid,mid
5.649057,0.862308,,0000,50th_male,mid,mid
5.554544,0.725592,,0000,50th_male,mid,mid
5.556319,0.625624,,0000,50th_male,mid,mid
5.513612,0.510444,,0000,50th_male,mid,mid
5.516499,0.505446,,0000,50th_male,mid,mid
9.180536,1.394805,,0000,50th_male,mid,mid
9.477150,1.382316,,0000,50th_male,mid,mid
9.869541,1.367891,,0000,50th_male,mid,mid
9.963826,1.204585,,0000,50th_male,mid,mid
10.188092,1.095176,,0000,50th_male,mid,mid
10.408469,1.000356,,0000,50th_male,mid,mid
10.409471,0.711737,,0000,50th_male,mid,mid
10.028915,0.426630,,0000,50th_male,mid,mid
9.287235,0.171613,,0000,50th_male,mid,mid
8.202143,-0.148284,,0000,50th_male,mid,mid
7.546940,-0.320165,,0000,50th_male,mid,mid
6.766521,-0.537512,,0000,50th_male,mid,mid
6.041818,-0.765207,,0000,50th_male,mid,mid
5.665239,-0.886545,,0000,50th_male,mid,mid
5.757673,-1.008579,,0000,50th_male,mid,mid
5.737280,-1.123906,,0000,50th_male,mid,mid
5.744040,-1.245816,,0000,50th_male,mid,mid
5.845538,-1.311416,,0000,50th_male,mid,mid
5.916934,-1.397815,,0000,50th_male,mid,mid
5.936465,-1.505897,,0000,50th_male,mid,mid
5.995539,-1.608217,,0000,50th_male,mid,mid
5.998594,-1.650241,,0000,50th_male,mid,mid
9.560920,1.720056,,0000,50th_male,mid,mid
9.738282,1.758521,,0000,50th_male,mid,mid
10.179928,1.789473,,0000,50th_male,mid,mid
10.592907,1.764853,,0000,50th_male,mid,mid
10.738384,1.667115,,0000,50th_male,mid,mid
10.738384,1.327977,,0000,50th_male,mid,mid
10.964508,1.100423,,0000,50th_male,mid,mid
10.738384,0.834686,,0000,50th_male,mid,mid
10.665131,0.792822,,0000,50th_male,mid,mid
9.860368,0.492845,,0000,50th_male,mid,mid
8.717731,0.118671,,0000,50th_male,mid,mid
7.670448,-0.179779,,0000,50th_male,mid,mid
6.798578,-0.453259,,0000,50th_male,mid,mid
6.275679,-0.619014,,0000,50th_male,mid,mid
5.957347,-0.732134,,0000,50th_male,mid,mid
5.893528,-0.875140,,0000,50th_male,mid,mid
5.893528,-0.968424,,0000,50th_male,mid,mid
5.957347,-1.059605,,0000,50th_male,mid,mid
6.044760,-1.148793,,0000,50th_male,mid,mid
6.044760,-1.289712,,0000,50th_male,mid,mid
6.089495,-1.407473,,0000,50th_male,mid,mid
6.204463,-1.495722,,0000,50th_male,mid,mid
6.251749,-1.606787,,0000,50th_male,mid,mid
6.251749,-1.776188,,0000,50th_male,mid,mid
6.251749,-1.893016,,0000,50th_male,mid,mid
6.228012,-2.028102,,0000,50th_male,mid,mid
6.251749,-2.173403,,0000,50th_male,mid,mid
6.324126,-2.320779,,0000,50th_male,mid,mid
6.348648,-2.463725,,0000,50th_male,mid,mid
6.398298,-2.591535,,0000,50th_male,mid,mid
6.474334,-2.741801,,0000,50th_male,mid,mid
6.578735,-2.886478,,0000,50th_male,mid,mid
6.605392,-3.037954,,0000,50th_male,mid,mid
6.632278,-3.203166,,0000,50th_male,mid,mid
