Point,x,y,x (in),y (in),x (ft),y (ft)
Car,,,12.25,58.25,1.020833333,4.854166667
Car,,,2.5,81,0.208333333,6.75
Car,,,11,101.5,0.916666667,8.458333333
Car,,,33,97.5,2.75,8.125
Car,,,50.5,78.5,4.208333333,6.541666667
Car,,,77.25,58.875,6.4375,4.90625
Car,,,98.25,50.125,8.1875,4.177083333
Car,,,116.125,45,9.677083333,3.75
Car,,,130.75,43.25,10.89583333,3.604166667
Car,,,152.25,42,12.6875,3.5
Car,,,167.375,56,13.94791667,4.666666667
Car,,,190.5,53.75,15.875,4.479166667
Car,,,215.25,52.75,17.9375,4.395833333
Car,,,238.5,49.25,19.875,4.104166667
Car,,,261.625,46.5,21.80208333,3.875
Car,,,290.625,51.75,24.21875,4.3125
Car,,,301.75,77.125,25.14583333,6.427083333
Car,,,322,87.5,26.83333333,7.291666667
Car,,,353.25,82.75,29.4375,6.895833333
Car,,,399.75,61.5,33.3125,5.125
Car,,,453.25,142.25,37.77083333,11.85416667
Car,,,462.5,170.5,38.54166667,14.20833333
Car,,,290,220,24.16666667,18.33333333
Car,,,290.875,230.25,24.23958333,19.1875
Car,,,293.75,252.125,24.47916667,21.01041667
Car,,,305.5,289.5,25.45833333,24.125
Car,,,314.875,322.875,26.23958333,26.90625
FL,,,72.5,335,6.041666667,27.91666667
Eye,,,94.75,425.25,7.895833333,35.4375
