x,y,description,img_last4,neck,seat_track,seat_height
0.621082,6.046968,,0000,50th_male,mid,mid
0.636580,5.991333,,0000,50th_male,mid,mid
0.740913,5.796302,,0000,50th_male,mid,mid
0.834997,5.695493,,0000,50th_male,mid,mid
0.900218,5.630332,,0000,50th_male,mid,mid
0.976289,5.551079,,0000,50th_male,mid,mid
1.042250,5.566740,,0000,50th_male,mid,mid
1.073669,5.582494,,0000,50th_male,mid,mid
1.117345,5.582494,,0000,50th_male,mid,mid
1.152285,5.582494,,0000,50th_male,mid,mid
1.214798,5.598343,,0000,50th_male,mid,mid
1.299660,5.614290,,0000,50th_male,mid,mid
1.391935,5.614290,,0000,50th_male,mid,mid
1.477544,5.662714,,0000,50th_male,mid,mid
1.534006,5.779236,,0000,50th_male,mid,mid
1.586368,5.918819,,0000,50th_male,mid,mid
1.659428,6.028300,,0000,50th_male,mid,mid
1.780356,6.122875,,0000,50th_male,mid,mid
1.852627,6.122875,,0000,50th_male,mid,mid
1.886353,6.122875,,0000,50th_male,mid,mid
1.935701,6.200830,,0000,50th_male,mid,mid
2.037079,6.240603,,0000,50th_male,mid,mid
2.159983,6.240603,,0000,50th_male,mid,mid
2.253687,6.280917,,0000,50th_male,mid,mid
2.339157,6.342435,,0000,50th_male,mid,mid
2.441578,6.405241,,0000,50th_male,mid,mid
2.553953,6.426468,,0000,50th_male,mid,mid
2.638661,6.405241,,0000,50th_male,mid,mid
2.638661,6.405241,,0000,50th_male,mid,mid
2.738363,6.447847,,0000,50th_male,mid,mid
2.742103,6.491055,,0000,50th_male,mid,mid
2.731434,5.936772,,0000,50th_male,mid,mid
2.776240,5.918819,,0000,50th_male,mid,mid
2.850607,5.918819,,0000,50th_male,mid,mid
2.934270,5.918819,,0000,50th_male,mid,mid
3.013285,5.918819,,0000,50th_male,mid,mid
3.082053,5.883255,,0000,50th_male,mid,mid
3.165183,5.883255,,0000,50th_male,mid,mid
3.172872,5.900981,,0000,50th_male,mid,mid
3.290473,6.491055,,0000,50th_male,mid,mid
3.354124,6.447847,,0000,50th_male,mid,mid
3.411833,6.405241,,0000,50th_male,mid,mid
3.458012,6.384161,,0000,50th_male,mid,mid
3.390114,6.009757,,0000,50th_male,mid,mid
3.413733,6.009757,,0000,50th_male,mid,mid
3.476915,5.954841,,0000,50th_male,mid,mid
3.538116,5.936772,,0000,50th_male,mid,mid
3.636108,5.918819,,0000,50th_male,mid,mid
3.705981,5.936772,,0000,50th_male,mid,mid
3.780587,5.936772,,0000,50th_male,mid,mid
3.841205,5.936772,,0000,50th_male,mid,mid
3.993351,6.321788,,0000,50th_male,mid,mid
3.991059,6.280917,,0000,50th_male,mid,mid
4.057626,6.240603,,0000,50th_male,mid,mid
4.134667,6.220649,,0000,50th_male,mid,mid
4.199597,6.181146,,0000,50th_male,mid,mid
4.250041,6.103710,,0000,50th_male,mid,mid
4.346320,6.065757,,0000,50th_male,mid,mid
4.434402,6.046968,,0000,50th_male,mid,mid
4.505723,6.046968,,0000,50th_male,mid,mid
4.586554,6.046968,,0000,50th_male,mid,mid
