x (m),y (m),x (ft),y (ft),description,img_last4,neck,seat_track,seat_height
9.388292,2.346947,30.80148393,7.699957595,,0000,50th_male,mid,mid
9.310615,2.307813,30.54663812,7.571565203,,0000,50th_male,mid,mid
9.388292,2.271657,30.80148393,7.452943152,,0000,50th_male,mid,mid
9.388292,2.10853,30.80148393,6.917749565,,0000,50th_male,mid,mid
8.05262,1.353186,26.4193578,4.439586756,,0000,50th_male,mid,mid
6.227772,0.477134,20.43232349,1.565400313,,0000,50th_male,mid,mid
5.328655,0.052741,17.48246447,0.173034782,,0000,50th_male,mid,mid
5.258249,-0.061037,17.25147365,-0.200252631,,0000,50th_male,mid,mid
5.23522,-0.200055,17.17591918,-0.656348446,,0000,50th_male,mid,mid
5.23522,-0.376513,17.17591918,-1.235278911,,0000,50th_male,mid,mid
5.304963,-0.49493,17.40473481,-1.623786141,,0000,50th_male,mid,mid
5.304963,-0.68767,17.40473481,-2.256135243,,0000,50th_male,mid,mid
5.23522,-0.865164,17.17591918,-2.838464658,,0000,50th_male,mid,mid
5.304963,-1.066267,17.40473481,-3.498251424,,0000,50th_male,mid,mid
5.304963,-1.203938,17.40473481,-3.949927948,,0000,50th_male,mid,mid
5.352572,-1.368026,17.56093232,-4.488274422,,0000,50th_male,mid,mid
5.376722,-1.48268,17.64016461,-4.864435851,,0000,50th_male,mid,mid
5.376722,-1.636309,17.64016461,-5.36846802,,0000,50th_male,mid,mid
5.376722,-1.803904,17.64016461,-5.918320399,,0000,50th_male,mid,mid
5.425726,-1.948023,17.80093889,-6.391151779,,0000,50th_male,mid,mid
5.475694,-2.180422,17.9648759,-7.153615714,,0000,50th_male,mid,mid
5.475694,-2.073616,17.9648759,-6.803202317,,0000,50th_male,mid,mid
5.475694,-2.073616,17.9648759,-6.803202317,,0000,50th_male,mid,mid
4.952273,4.78343,16.24761535,15.69366848,,0000,50th_male,mid,mid
4.985567,4.833945,16.35684764,15.85940011,,0000,50th_male,mid,mid
5.117321,4.826862,16.78911143,15.83616192,,0000,50th_male,mid,mid
5.181022,4.716528,16.99810422,15.47417372,,0000,50th_male,mid,mid
4.983268,4.211305,16.34930499,13.8166179,,0000,50th_male,mid,mid
4.967451,3.944513,16.29741194,12.94131603,,0000,50th_male,mid,mid
5.192348,3.949968,17.03526301,12.95921301,,0000,50th_male,mid,mid
5.338257,3.799452,17.5139671,12.4653941,,0000,50th_male,mid,mid
5.606749,3.649844,18.39484639,11.97455419,,0000,50th_male,mid,mid
5.804553,3.52518,19.04380966,11.56555155,,0000,50th_male,mid,mid
6.231626,3.724568,20.44496785,12.21971168,,0000,50th_male,mid,mid
6.567173,3.791635,21.54584387,12.43974777,,0000,50th_male,mid,mid
7.539379,4.407883,24.7354962,14.46155886,,0000,50th_male,mid,mid
7.686824,4.507723,25.21923965,14.78911793,,0000,50th_male,mid,mid
5.055181,1.80971,16.58524003,5.937368956,,0000,50th_male,mid,mid
4.980772,1.660857,16.34111601,5.44900608,,0000,50th_male,mid,mid
