x,y,description,img_last4,neck,seat_track,seat_height
9.388292,2.346947,,0000,50th_male,mid,mid
9.310615,2.307813,,0000,50th_male,mid,mid
9.388292,2.271657,,0000,50th_male,mid,mid
9.388292,2.108530,,0000,50th_male,mid,mid
8.052620,1.353186,,0000,50th_male,mid,mid
6.227772,0.477134,,0000,50th_male,mid,mid
5.328655,0.052741,,0000,50th_male,mid,mid
5.258249,-0.061037,,0000,50th_male,mid,mid
5.235220,-0.200055,,0000,50th_male,mid,mid
5.235220,-0.376513,,0000,50th_male,mid,mid
5.304963,-0.494930,,0000,50th_male,mid,mid
5.304963,-0.687670,,0000,50th_male,mid,mid
5.235220,-0.865164,,0000,50th_male,mid,mid
5.304963,-1.066267,,0000,50th_male,mid,mid
5.304963,-1.203938,,0000,50th_male,mid,mid
5.352572,-1.368026,,0000,50th_male,mid,mid
5.376722,-1.482680,,0000,50th_male,mid,mid
5.376722,-1.636309,,0000,50th_male,mid,mid
5.376722,-1.803904,,0000,50th_male,mid,mid
5.425726,-1.948023,,0000,50th_male,mid,mid
5.475694,-2.180422,,0000,50th_male,mid,mid
5.475694,-2.073616,,0000,50th_male,mid,mid
5.475694,-2.073616,,0000,50th_male,mid,mid
4.952273,4.783430,,0000,50th_male,mid,mid
4.985567,4.833945,,0000,50th_male,mid,mid
5.117321,4.826862,,0000,50th_male,mid,mid
5.181022,4.716528,,0000,50th_male,mid,mid
4.983268,4.211305,,0000,50th_male,mid,mid
4.967451,3.944513,,0000,50th_male,mid,mid
5.192348,3.949968,,0000,50th_male,mid,mid
5.338257,3.799452,,0000,50th_male,mid,mid
5.606749,3.649844,,0000,50th_male,mid,mid
5.804553,3.525180,,0000,50th_male,mid,mid
6.231626,3.724568,,0000,50th_male,mid,mid
6.567173,3.791635,,0000,50th_male,mid,mid
7.539379,4.407883,,0000,50th_male,mid,mid
7.686824,4.507723,,0000,50th_male,mid,mid
5.055181,1.809710,,0000,50th_male,mid,mid
4.980772,1.660857,,0000,50th_male,mid,mid
4.963686,1.490323,,0000,50th_male,mid,mid
4.876204,1.261122,,0000,50th_male,mid,mid
4.794790,1.103286,,0000,50th_male,mid,mid
7.764655,2.132110,,0000,50th_male,mid,mid
7.800440,2.070128,,0000,50th_male,mid,mid
8.153114,2.044996,,0000,50th_male,mid,mid
8.590590,2.078005,,0000,50th_male,mid,mid
8.566706,1.794789,,0000,50th_male,mid,mid
8.667969,1.619396,,0000,50th_male,mid,mid
8.547820,1.361345,,0000,50th_male,mid,mid
7.843140,0.933343,,0000,50th_male,mid,mid
6.504687,0.382287,,0000,50th_male,mid,mid
5.623467,0.028548,,0000,50th_male,mid,mid
4.931056,-0.279756,,0000,50th_male,mid,mid
4.931056,-0.279756,,0000,50th_male,mid,mid
4.936735,-0.336084,,0000,50th_male,mid,mid
4.902035,-0.457657,,0000,50th_male,mid,mid
4.957681,-0.598413,,0000,50th_male,mid,mid
4.960592,-0.734163,,0000,50th_male,mid,mid
4.977685,-0.848948,,0000,50th_male,mid,mid
5.007382,-0.984046,,0000,50th_male,mid,mid
4.985950,-1.109853,,0000,50th_male,mid,mid
5.024231,-1.255500,,0000,50th_male,mid,mid
5.049388,-1.377053,,0000,50th_male,mid,mid
5.057099,-1.504890,,0000,50th_male,mid,mid
5.066198,-1.595365,,0000,50th_male,mid,mid
5.108904,-1.669333,,0000,50th_male,mid,mid
5.120520,-1.762918,,0000,50th_male,mid,mid
5.161941,-1.906912,,0000,50th_male,mid,mid
5.161941,-1.906912,,0000,50th_male,mid,mid
0.773239,5.056747,,0000,50th_male,mid,mid
0.898345,4.984517,,0000,50th_male,mid,mid
0.933301,5.011470,,0000,50th_male,mid,mid
0.911976,4.295164,,0000,50th_male,mid,mid
0.990649,4.408255,,0000,50th_male,mid,mid
1.138810,4.282402,,0000,50th_male,mid,mid
1.305171,4.186354,,0000,50th_male,mid,mid
1.416730,4.286056,,0000,50th_male,mid,mid
1.424134,4.281781,,0000,50th_male,mid,mid
1.578127,4.784198,,0000,50th_male,mid,mid
1.723275,4.749981,,0000,50th_male,mid,mid
1.833230,4.587959,,0000,50th_male,mid,mid
