x,y,x (ft),y (ft),description,img_last4,neck,seat_track,seat_height
-1.156115,7.722988,-3.793028215,25.33788714,,0,50th_male,mid,mid
-1.074704,7.561912,-3.525931759,24.80942257,,0,50th_male,mid,mid
-0.983056,7.459658,-3.225249344,24.47394357,,0,50th_male,mid,mid
-0.910511,7.426435,-2.987240814,24.36494423,,0,50th_male,mid,mid
-0.846358,7.426435,-2.776765092,24.36494423,,0,50th_male,mid,mid
-0.767389,7.442994,-2.517680446,24.41927165,,0,50th_male,mid,mid
-0.70509,7.476427,-2.313287402,24.52895997,,0,50th_male,mid,mid
-0.669925,7.510291,-2.197916667,24.64006234,,0,50th_male,mid,mid
-0.643886,7.596887,-2.112486877,24.92416995,,0,50th_male,mid,mid
-0.615493,7.596887,-2.01933399,24.92416995,,0,50th_male,mid,mid
-0.534901,7.510291,-1.754924541,24.64006234,,0,50th_male,mid,mid
-0.462471,7.493304,-1.517293307,24.58433071,,0,50th_male,mid,mid
-0.414272,7.579344,-1.359160105,24.86661417,,0,50th_male,mid,mid
-0.362141,7.650217,-1.18812664,25.09913714,,0,50th_male,mid,mid
-0.291367,7.741486,-0.955928478,25.39857612,,0,50th_male,mid,mid
-0.218177,7.83587,-0.715803806,25.70823491,,0,50th_male,mid,mid
-0.160808,7.913727,-0.527585302,25.96367126,,0,50th_male,mid,mid
-0.09521,7.97355,-0.312368766,26.15994094,,0,50th_male,mid,mid
-0.019266,7.97355,-0.063208661,26.15994094,,0,50th_male,mid,mid
0.054662,8.014132,0.17933727,26.29308399,,0,50th_male,mid,mid
0.120159,8.034639,0.394222441,26.36036417,,0,50th_male,mid,mid
0.201525,8.055292,0.66117126,26.42812336,,0,50th_male,mid,mid
0.242246,8.076092,0.794770341,26.49636483,,0,50th_male,mid,mid
0.257094,8.118137,0.843484252,26.63430774,,0,50th_male,mid,mid
0.283044,8.118137,0.928622047,26.63430774,,0,50th_male,mid,mid
0.365919,8.076092,1.200521654,26.49636483,,0,50th_male,mid,mid
0.448367,8.076092,1.471020341,26.49636483,,0,50th_male,mid,mid
0.537352,8.118137,1.762965879,26.63430774,,0,50th_male,mid,mid
0.670623,8.182348,2.200206693,26.84497375,,0,50th_male,mid,mid
0.778708,8.225937,2.554816273,26.98798228,,0,50th_male,mid,mid
0.870472,8.247971,2.855879265,27.06027231,,0,50th_male,mid,mid
0.870472,8.247971,2.855879265,27.06027231,,0,50th_male,mid,mid
0.85851,7.722988,2.816633858,25.33788714,,0,50th_male,mid,mid
0.957421,7.741486,3.141145013,25.39857612,,0,50th_male,mid,mid
1.035167,7.741486,3.396217192,25.39857612,,0,50th_male,mid,mid
1.129709,7.722988,3.706394357,25.33788714,,0,50th_male,mid,mid
1.205235,7.741486,3.954183071,25.39857612,,0,50th_male,mid,mid
1.299115,7.778857,4.26218832,25.52118438,,0,50th_male,mid,mid
1.346533,7.797732,4.417759186,25.58311024,,0,50th_male,mid,mid
1.420607,8.360605,4.660784121,27.42980643,,0,50th_male,mid,mid
1.431413,8.360605,4.696236877,27.42980643,,0,50th_male,mid,mid
1.51786,8.360605,4.979855643,27.42980643,,0,50th_male,mid,mid
1.568151,8.31505,5.144852362,27.28034777,,0,50th_male,mid,mid
1.606376,8.292525,5.270262467,27.20644685,,0,50th_male,mid,mid
1.527253,7.816736,5.010672572,25.64545932,,0,50th_male,mid,mid
1.542028,7.816736,5.059146982,25.64545932,,0,50th_male,mid,mid
1.615906,7.816736,5.301528871,25.64545932,,0,50th_male,mid,mid
1.689784,7.816736,5.543910761,25.64545932,,0,50th_male,mid,mid
1.734497,7.778857,5.690606955,25.52118438,,0,50th_male,mid,mid
1.827443,7.778857,5.9955479,25.52118438,,0,50th_male,mid,mid
1.906887,7.83587,6.256190945,25.70823491,,0,50th_male,mid,mid
1.971133,7.83587,6.466971785,25.70823491,,0,50th_male,mid,mid
1.985959,7.83587,6.515613517,25.70823491,,0,50th_male,mid,mid
2.133121,8.160789,6.998428478,26.77424213,,0,50th_male,mid,mid
2.204813,8.139386,7.233638451,26.70402231,,0,50th_male,mid,mid
2.293359,8.139386,7.524143701,26.70402231,,0,50th_male,mid,mid
2.352989,8.055292,7.719780184,26.42812336,,0,50th_male,mid,mid
2.355519,7.87453,7.728080709,25.83507218,,0,50th_male,mid,mid
2.410992,7.704614,7.91007874,25.27760499,,0,50th_male,mid,mid
2.480632,7.760108,8.13855643,25.45967192,,0,50th_male,mid,mid
2.578568,7.797732,8.459868766,25.58311024,,0,50th_male,mid,mid
2.662012,7.797732,8.733635171,25.58311024,,0,50th_male,mid,mid
2.748702,7.816736,9.018051181,25.64545932,,0,50th_male,mid,mid
2.81273,7.816736,9.228116798,25.64545932,,0,50th_male,mid,mid
2.866907,7.816736,9.405862861,25.64545932,,0,50th_male,mid,mid
2.871833,7.816736,9.422024278,25.64545932,,0,50th_male,mid,mid
0.858782,8.45305,2.817526247,27.73310367,,0,50th_male,mid,mid
0.923099,8.461176,3.028540026,27.75976378,,0,50th_male,mid,mid
0.975169,8.431114,3.19937336,27.66113517,,0,50th_male,mid,mid
1.003489,8.43763,3.292286745,27.68251312,,0,50th_male,mid,mid
0.948805,7.922021,3.112877297,25.99088255,,0,50th_male,mid,mid
0.982873,7.960818,3.22464895,26.11816929,,0,50th_male,mid,mid
1.038882,7.889378,3.408405512,25.88378609,,0,50th_male,mid,mid
1.098161,7.816548,3.60289042,25.64484252,,0,50th_male,mid,mid
