phis,phis (radians),NVP (in),NVP(ft),x (in),y (in),x (ft),y (ft)
-7,-0.122173048,201,16.75,199.5017765,-24.4957381,16.62514804,-2.041311508
-6,-0.104719755,199,16.58333333,197.9098572,-20.80116417,16.4924881,-1.733430347
-5,-0.087266463,196,16.33333333,195.2541608,-17.08252566,16.27118007,-1.423543805
-4,-0.06981317,191,15.91666667,190.5347336,-13.32348647,15.87789447,-1.110290539
-3,-0.052359878,189,15.75,188.7409821,-9.891495813,15.72841517,-0.824291318
-2,-0.034906585,186,15.5,185.8866938,-6.491306379,15.49055782,-0.540942198
-1,-0.017453293,183,15.25,182.9721282,-3.193790466,15.24767735,-0.266149205
0,0,179,14.91666667,179,0,14.91666667,0
1,0.017453293,177,14.75,176.973042,3.089076024,14.7477535,0.257423002
2,0.034906585,173,14.41666667,172.8946131,6.037612923,14.40788442,0.50313441
3,0.052359878,173,14.41666667,172.7629095,9.054120506,14.39690913,0.754510042
4,0.06981317,170,14.16666667,169.5858885,11.85860052,14.13215738,0.98821671
5,0.087266463,167,13.91666667,166.3645146,14.55500911,13.86370955,1.212917425
6,0.104719755,163,13.58333333,162.1070689,17.03813949,13.50892241,1.419844958
7,0.122173048,162,13.5,160.7924766,19.74283369,13.39937305,1.645236141
8,0.13962634,160,13.33333333,158.442891,22.26769613,13.20357425,1.855641344
9,0.157079633,160,13.33333333,158.0301345,25.02951446,13.16917787,2.085792871
10,0.174532925,159,13.25,156.5844327,27.61006022,13.04870273,2.300838351
11,0.191986218,157,13.08333333,154.1154678,29.95701232,12.84295565,2.496417693
12,0.20943951,154,12.83333333,150.6347305,32.01840035,12.55289421,2.668200029
13,0.226892803,152,12.66666667,148.1042498,34.1925603,12.34202082,2.849380025
14,0.244346095,149,12.41666667,144.5740632,36.0463624,12.0478386,3.003863534
15,0.261799388,147,12.25,141.9910965,38.04639966,11.83259137,3.170533305
16,0.27925268,147,12.25,141.3054693,40.51869126,11.77545578,3.376557605
17,0.296705973,149,12.41666667,142.4894086,43.56338403,11.87411739,3.630282002
18,0.314159265,219,18.25,208.2813771,67.67472169,17.35678142,5.639560141
19,0.331612558,354,29.5,334.7135757,115.2511267,27.89279798,9.60426056
20,0.34906585,366,30.5,343.9274993,125.1793723,28.66062494,10.43161436
21,0.366519143,371,30.91666667,346.3583382,132.9545093,28.86319485,11.07954244
22,0.383972435,373,31.08333333,345.8395778,139.7282592,28.81996482,11.6440216
23,0.401425728,375,31.25,345.18932,146.5241732,28.76577667,12.21034777
24,0.41887902,365,30.41666667,333.4440921,148.4588746,27.78700768,12.37157288
25,0.436332313,379,31.58333333,343.4906513,160.1723212,28.62422094,13.34769343
26,0.453785606,379,31.58333333,340.6429435,166.1426648,28.38691196,13.84522207
27,0.471238898,379,31.58333333,337.6914727,172.0623994,28.14095606,14.33853328
28,0.488692191,379,31.58333333,334.6371376,177.9297224,27.88642813,14.82747687
29,0.506145483,379,31.58333333,331.480869,183.742846,27.62340575,15.31190384
30,0.523598776,379,31.58333333,328.223628,189.5000001,27.351969,15.79166668
31,0.541052068,379,31.58333333,324.866407,195.1994304,27.07220058,16.2666192
32,0.558505361,379,31.58333333,321.4102284,200.8394013,26.7841857,16.73661677
33,0.575958653,379,31.58333333,317.8561453,206.4181942,26.48801211,17.20151619
34,0.593411946,379,31.58333333,314.2052399,211.9341105,26.18376999,17.66117588
35,0.610865238,379,31.58333333,310.4586248,217.3854693,25.87155207,18.11545578
36,0.628318531,379,31.58333333,306.6174408,222.7706107,25.5514534,18.56421756
37,0.645771823,379,31.58333333,302.6828584,228.0878937,25.22357153,19.00732448
38,0.663225116,379,31.58333333,298.6560756,233.3356992,24.8880063,19.4446416
39,0.680678408,379,31.58333333,294.5383195,238.5124281,24.54485995,19.87603568
40,0.698131701,379,31.58333333,290.3308439,243.6165041,24.19423699,20.30137534
41,0.715584993,208,17.33333333,156.9795927,136.460278,13.08163273,11.37168983
42,0.733038286,208,17.33333333,154.5741237,139.1791661,12.88117697,11.59826385
43,0.750491578,205,17.08333333,149.9275089,139.8096638,12.49395907,11.65080531
44,0.767944871,205,17.08333333,147.4646591,142.404966,12.28872159,11.8670805
45,0.785398163,200,16.66666667,141.4213563,141.4213562,11.78511302,11.78511302
46,0.802851456,194,16.16666667,134.7637239,139.5519213,11.23031032,11.62932677
47,0.820304748,194,16.16666667,132.3076819,141.8826181,11.02564016,11.8235515
48,0.837758041,194,16.16666667,129.8113376,144.1700961,10.81761147,12.01417468
49,0.855211333,197,16.41666667,129.2436288,148.6777872,10.7703024,12.3898156
50,0.872664626,204,17,131.1286724,156.2730664,10.92738936,13.02275553
51,0.890117919,208,17.33333333,130.8986413,161.64636,10.90822011,13.47053
52,0.907571211,208,17.33333333,128.0575869,163.9062367,10.67146557,13.65885306
53,0.925024504,188,15.66666667,113.1412243,150.1434759,9.428435357,12.51195633
54,0.942477796,180,15,105.8013454,145.623059,8.816778785,12.13525491
55,0.959931089,177,14.75,101.5230292,144.9899119,8.460252431,12.08249266
56,0.977384381,175,14.58333333,97.85875812,145.0815752,8.15489651,12.09013127
57,0.994837674,173,14.41666667,94.222553,145.0900083,7.851879417,12.09083402
58,1.012290966,173,14.41666667,91.67603274,146.7123206,7.639669395,12.22602672
59,1.029744259,176,14.66666667,90.64670114,150.861445,7.553891761,12.57178708
60,1.047197551,190,15.83333333,95.00000003,164.5448267,7.916666669,13.71206889
61,1.064650844,187,15.58333333,90.65939894,163.5538853,7.554949912,13.62949044
62,1.082104136,187,15.58333333,87.79118228,165.1111998,7.315931857,13.75926665
63,1.099557429,185,15.41666667,83.98824241,164.836207,6.999020201,13.73635058
64,1.117010721,183,15.25,80.22191991,164.4793105,6.685159992,13.7066092
65,1.134464014,180,15,76.07128708,163.1354017,6.339273923,13.59461681
66,1.151917306,178,14.83333333,72.39912252,162.6110914,6.03326021,13.55092429
67,1.169370599,177,14.75,69.15940972,162.9293591,5.763284143,13.57744659
68,1.186823891,175,14.58333333,65.55615391,162.2571745,5.463012825,13.52143121
69,1.204277184,173,14.41666667,61.99765525,161.5094138,5.166471271,13.45911782
70,1.221730476,172,14.33333333,58.82746472,161.6271308,4.902288726,13.46892756
71,1.239183769,171,14.25,55.6721544,161.6836764,4.6393462,13.4736397
72,1.256637061,169,14.08333333,52.22387212,160.7285512,4.351989343,13.39404594
73,1.274090354,166,13.83333333,48.53370298,158.7465895,4.044475248,13.22888246
74,1.291543646,166,13.83333333,45.75580114,159.5694415,3.812983428,13.29745346
75,1.308996939,168,14,43.48159958,162.2755388,3.623466631,13.52296157
76,1.326450232,173,14.41666667,41.85248786,167.8611607,3.487707321,13.98843006
77,1.343903524,175,14.58333333,39.36643452,170.5147613,3.28053621,14.20956344
78,1.361356817,175,14.58333333,36.38454582,171.1758301,3.032045485,14.26465251
79,1.378810109,153,12.75,29.1937763,150.1889591,2.432814692,12.51574659
80,1.396263402,153,12.75,26.56817112,150.6755862,2.21401426,12.55629885
81,1.413716694,152,12.66666667,23.7780387,150.1286278,1.981503225,12.51071898
82,1.431169987,152,12.66666667,21.15431129,150.5207465,1.762859274,12.54339554
83,1.448623279,152,12.66666667,18.52414022,150.867015,1.543678352,12.57225125
84,1.466076572,379,31.58333333,39.61628746,376.9237984,3.301357288,31.41031653
85,1.483529864,379,31.58333333,33.03202658,377.5577906,2.752668881,31.46314921
86,1.500983157,147,12.25,10.2542016,146.6419154,0.8545168,12.22015962
87,1.518436449,147,12.25,7.693385602,146.7985416,0.641115467,12.2332118
88,1.535889742,147,12.25,5.130225979,146.9104516,0.427518832,12.24253763
89,1.553343034,148,12.33333333,2.582956193,147.9774589,0.215246349,12.33145491
