x,y,description,img_last4,neck,seat_track,seat_height
-3.250869,-6.17655,driver_bpillar,0803,50th_male,mid,down
-2.908386,-5.784605,driver_bpillar,0803,50th_male,mid,down
-2.664487,-5.541774,driver_bpillar,0803,50th_male,mid,down
-2.405637,-5.277806,driver_bpillar,0803,50th_male,mid,down
-2.166959,-5.028226,driver_bpillar,0803,50th_male,mid,down
-1.99996,-4.849605,driver_bpillar,0803,50th_male,mid,down
-1.807518,-4.663158,driver_bpillar,0803,50th_male,mid,down
-1.636815,-4.473863,driver_bpillar,0803,50th_male,mid,down
-1.491259,-4.323259,driver_bpillar,0803,50th_male,mid,down
-1.386903,-4.206972,driver_bpillar,0803,50th_male,mid,down
-1.31441,-4.116343,driver_bpillar,0803,50th_male,mid,down
-1.313558,-4.041153,driver_bpillar,0803,50th_male,mid,down
-1.323155,-3.962355,driver_bpillar,0803,50th_male,mid,down
-1.344324,-3.853055,driver_bpillar,0803,50th_male,mid,down
-1.361255,-3.753158,driver_bpillar,0803,50th_male,mid,down
-1.37592,-3.659166,driver_bpillar,0803,50th_male,mid,down
-1.390179,-3.567773,driver_bpillar,0803,50th_male,mid,down
-1.411202,-3.498698,driver_bpillar,0803,50th_male,mid,down
-1.425455,-3.431156,driver_bpillar,0803,50th_male,mid,down
-1.442454,-3.370078,driver_bpillar,0803,50th_male,mid,down
-1.438182,-3.356622,driver_bpillar,0803,50th_male,mid,down
-1.618467,-2.33616,driver_window,0804,50th_male,mid,down
-1.633661,-2.267812,driver_window,0804,50th_male,mid,down
-1.649058,-2.174525,driver_window,0804,50th_male,mid,down
-1.675185,-2.08217,driver_window,0804,50th_male,mid,down
-1.696516,-1.974549,driver_window,0804,50th_male,mid,down
-1.712771,-1.883718,driver_window,0804,50th_male,mid,down
-1.757237,-1.766982,driver_window,0804,50th_male,mid,down
-1.774344,-1.679562,driver_window,0804,50th_male,mid,down
-1.791695,-1.583608,driver_window,0804,50th_male,mid,down
-1.809295,-1.489947,driver_window,0804,50th_male,mid,down
-1.827149,-1.394931,driver_window,0804,50th_male,mid,down
-1.845263,-1.302255,driver_window,0804,50th_male,mid,down
-1.863644,-1.200718,driver_window,0804,50th_male,mid,down
-1.901226,-1.114911,driver_window,0804,50th_male,mid,down
-1.907598,-1.043124,driver_window,0804,50th_male,mid,down
-1.907598,-1.031677,driver_window,0804,50th_male,mid,down
-3.469123,-0.265576,driver_window,0804,50th_male,mid,down
-3.623356,-0.250922,driver_window,0804,50th_male,mid,down
-3.969174,-0.163031,driver_window,0804,50th_male,mid,down
-4.327066,-0.05231,driver_window,0804,50th_male,mid,down
-4.860569,0.145554,driver_window,0804,50th_male,mid,down
-5.596828,0.47998,driver_window,0804,50th_male,mid,down
-6.36317,0.890689,driver_window,0804,50th_male,mid,down
-7.4695,1.511794,driver_window,0804,50th_male,mid,down
-8.396829,2.0748,driver_window,0804,50th_male,mid,down
-8.900144,2.506045,driver_window,0804,50th_male,mid,down
-9.080579,2.641345,driver_window,0804,50th_male,mid,down
-1.759794,-1.829480,driver_apillar,0805,50th_male,mid,down
-1.753812,-1.775471,driver_apillar,0805,50th_male,mid,down
-1.739242,-1.683228,driver_apillar,0805,50th_male,mid,down
