x,y,description,img_last4,neck,seat_track,seat_height
-3.648383,14.677513,,1268,50th_male,mid,mid
-3.648383,14.677513,,1268,50th_male,mid,mid
-3.517668,14.351394,,1268,50th_male,mid,mid
-3.517668,14.351394,,1268,50th_male,mid,mid
-3.469764,14.351394,,1268,50th_male,mid,mid
-3.469764,14.351394,,1268,50th_male,mid,mid
-3.399081,14.225802,,1268,50th_male,mid,mid
-3.378444,14.164006,,1268,50th_male,mid,mid
-3.194426,13.749090,,1268,50th_male,mid,mid
-3.194426,13.749090,,1268,50th_male,mid,mid
-3.120804,13.580204,,1268,50th_male,mid,mid
-3.120804,13.580204,,1268,50th_male,mid,mid
-3.076031,13.580204,,1268,50th_male,mid,mid
-3.076031,13.580204,,1268,50th_male,mid,mid
-2.962151,13.309774,,1268,50th_male,mid,mid
-2.962151,13.309774,,1268,50th_male,mid,mid
-2.902577,13.205279,,1268,50th_male,mid,mid
-2.893927,13.205279,,1268,50th_male,mid,mid
-2.876626,13.205279,,1268,50th_male,mid,mid
-2.876626,13.205279,,1268,50th_male,mid,mid
-2.778348,13.002261,,1268,50th_male,mid,mid
-2.778348,13.002261,,1268,50th_male,mid,mid
-2.765616,13.153790,,1268,50th_male,mid,mid
-2.765616,13.153790,,1268,50th_male,mid,mid
-2.745330,13.257272,,1268,50th_male,mid,mid
-2.745330,13.257272,,1268,50th_male,mid,mid
-2.749436,13.416342,,1268,50th_male,mid,mid
-2.749436,13.416342,,1268,50th_male,mid,mid
-2.719570,13.525037,,1268,50th_male,mid,mid
-2.719570,13.525037,,1268,50th_male,mid,mid
-2.707101,13.635929,,1268,50th_male,mid,mid
-2.707101,13.635929,,1268,50th_male,mid,mid
-2.699765,13.864580,,1268,50th_male,mid,mid
-2.699765,13.864580,,1268,50th_male,mid,mid
-2.724287,14.288260,,1268,50th_male,mid,mid
-2.724287,14.288260,,1268,50th_male,mid,mid
-2.676639,14.288260,,1268,50th_male,mid,mid
-2.667110,14.288260,,1268,50th_male,mid,mid
-2.648720,14.544923,,1268,50th_male,mid,mid
-2.648720,14.544923,,1268,50th_male,mid,mid
-2.649419,14.813061,,1268,50th_male,mid,mid
-2.649419,14.813061,,1268,50th_male,mid,mid
-2.652493,15.022161,,1268,50th_male,mid,mid
-2.652493,15.022161,,1268,50th_male,mid,mid
-2.576084,15.165575,,1268,50th_male,mid,mid
-2.576084,15.165575,,1268,50th_male,mid,mid
-2.515434,15.386976,,1268,50th_male,mid,mid
-2.515434,15.386976,,1268,50th_male,mid,mid
-2.479259,15.597004,,1268,50th_male,mid,mid
-2.479259,15.597004,,1268,50th_male,mid,mid
-2.449498,15.926800,,1268,50th_male,mid,mid
-2.449498,15.926800,,1268,50th_male,mid,mid
-2.443968,16.214638,,1268,50th_male,mid,mid
-2.443968,16.214638,,1268,50th_male,mid,mid
-2.414687,16.515127,,1268,50th_male,mid,mid
-2.414687,16.515127,,1268,50th_male,mid,mid
-2.355229,16.765211,,1268,50th_male,mid,mid
-2.355229,16.765211,,1268,50th_male,mid,mid
-2.339027,17.090700,,1268,50th_male,mid,mid
-2.339027,17.090700,,1268,50th_male,mid,mid
-2.271044,17.293243,,1268,50th_male,mid,mid
-2.271044,17.293243,,1268,50th_male,mid,mid
-2.270094,17.788542,,1268,50th_male,mid,mid
-2.270094,17.788542,,1268,50th_male,mid,mid
-2.210617,17.936218,,1268,50th_male,mid,mid
-2.210617,17.936218,,1268,50th_male,mid,mid
-2.158287,18.556730,,1268,50th_male,mid,mid
-2.158287,18.556730,,1268,50th_male,mid,mid
-2.085571,18.719751,,1268,50th_male,mid,mid
-2.085571,18.719751,,1268,50th_male,mid,mid
-2.045413,19.229393,,1268,50th_male,mid,mid
-2.045413,19.229393,,1268,50th_male,mid,mid
-1.981584,19.496449,,1268,50th_male,mid,mid
-1.981584,19.496449,,1268,50th_male,mid,mid
-1.941088,19.679296,,1268,50th_male,mid,mid
-1.941088,19.679296,,1268,50th_male,mid,mid
-1.916349,20.057076,,1268,50th_male,mid,mid
-1.906527,20.057076,,1268,50th_male,mid,mid
-1.856807,20.656050,,1268,50th_male,mid,mid
-1.856807,20.656050,,1268,50th_male,mid,mid
-1.788592,20.759890,,1268,50th_male,mid,mid
-1.801793,20.864929,,1268,50th_male,mid,mid
-1.703913,21.078672,,1268,50th_male,mid,mid
-1.703913,21.078672,,1268,50th_male,mid,mid
-1.675024,21.187431,,1268,50th_male,mid,mid
-1.675024,21.187431,,1268,50th_male,mid,mid
-1.539093,21.187431,,1268,50th_male,mid,mid
-1.539093,21.187431,,1268,50th_male,mid,mid
-1.483470,21.867754,,1268,50th_male,mid,mid
-1.483470,21.867754,,1268,50th_male,mid,mid
-1.412386,22.599642,,1268,50th_male,mid,mid
-1.412386,22.599642,,1268,50th_male,mid,mid
-1.333646,22.599642,,1268,50th_male,mid,mid
-1.333646,22.599642,,1268,50th_male,mid,mid
-1.219599,23.119167,,1268,50th_male,mid,mid
-1.219599,23.119167,,1268,50th_male,mid,mid
-1.184350,23.253288,,1268,50th_male,mid,mid
-1.184350,23.253288,,1268,50th_male,mid,mid
-1.087637,23.666336,,1268,50th_male,mid,mid
-1.087637,23.666336,,1268,50th_male,mid,mid
-1.000978,23.950974,,1268,50th_male,mid,mid
-1.000978,23.950974,,1268,50th_male,mid,mid
-0.854016,24.096199,,1268,50th_male,mid,mid
-0.854016,24.096199,,1268,50th_male,mid,mid
-0.757311,24.096199,,1268,50th_male,mid,mid
-0.757311,24.096199,,1268,50th_male,mid,mid
-0.845393,25.170677,,1268,50th_male,mid,mid
-0.845393,25.170677,,1268,50th_male,mid,mid
-1.006460,25.497652,,1268,50th_male,mid,mid
-1.006460,25.497652,,1268,50th_male,mid,mid
-1.143080,26.357969,,1268,50th_male,mid,mid
-1.143080,26.357969,,1268,50th_male,mid,mid
-1.249212,26.905825,,1268,50th_male,mid,mid
-1.249212,26.905825,,1268,50th_male,mid,mid
-1.438931,28.929251,,1268,50th_male,mid,mid
-1.455175,29.150246,,1268,50th_male,mid,mid
-1.686514,31.850313,,1268,50th_male,mid,mid
-1.686514,31.850313,,1268,50th_male,mid,mid
-1.914039,34.185734,,1268,50th_male,mid,mid
-1.914039,34.185734,,1268,50th_male,mid,mid
-2.003245,35.844353,,1268,50th_male,mid,mid
-2.003245,35.844353,,1268,50th_male,mid,mid
-2.201535,38.481712,,1268,50th_male,mid,mid
-2.201535,38.481712,,1268,50th_male,mid,mid
-2.324483,41.572914,,1268,50th_male,mid,mid
-2.324483,41.572914,,1268,50th_male,mid,mid
-2.416097,44.127773,,1268,50th_male,mid,mid
-2.416097,44.127773,,1268,50th_male,mid,mid
-2.548869,48.992916,,1268,50th_male,mid,mid
-2.548869,48.992916,,1268,50th_male,mid,mid
-2.536428,52.657467,,1268,50th_male,mid,mid
-2.536428,52.657467,,1268,50th_male,mid,mid
-2.539775,55.147514,,1268,50th_male,mid,mid
-2.510267,55.147514,,1268,50th_male,mid,mid
-2.492545,59.897335,,1268,50th_male,mid,mid
-2.492545,59.897335,,1268,50th_male,mid,mid
-2.267326,59.897335,,1268,50th_male,mid,mid
-2.202978,59.897335,,1268,50th_male,mid,mid
-2.153718,63.182518,,1268,50th_male,mid,mid
-2.205380,64.362907,,1268,50th_male,mid,mid
-1.894386,68.196747,,1268,50th_male,mid,mid
-1.809798,66.866966,,1268,50th_male,mid,mid
-1.809798,66.866966,,1268,50th_male,mid,mid
-1.719289,69.582672,,1268,50th_male,mid,mid
-1.719289,69.582672,,1268,50th_male,mid,mid
-1.575058,71.028374,,1268,50th_male,mid,mid
-1.463728,72.537598,,1268,50th_male,mid,mid
-1.307833,75.765297,,1268,50th_male,mid,mid
-1.307833,75.765297,,1268,50th_male,mid,mid
-0.568458,75.765297,,1268,50th_male,mid,mid
-0.568458,75.765297,,1268,50th_male,mid,mid
-0.142869,74.115074,,1268,50th_male,mid,mid
0.017733,74.115074,,1268,50th_male,mid,mid
0.338938,74.115074,,1268,50th_male,mid,mid
0.379087,74.115074,,1268,50th_male,mid,mid
0.461960,69.582672,,1268,50th_male,mid,mid
0.535670,66.866966,,1268,50th_male,mid,mid
0.853543,59.897335,,1268,50th_male,mid,mid
